## Estado actual del proyecto — Marketing DEPA IA

Actualizado: 2026-07-27
Último foco: saldar deuda técnica acumulada (cold-start Ollama, URLs de clips, CI/CD).

---

### Cronología reciente

#### 2026-07-27 — Deuda técnica saldada: Ollama, clips y CI/CD

| Entrega | Detalle |
| `test_format_normalization.py` (extendido) | `user_clip_reel` sobrevive normalización + `resolve_image_spec` |
| `test_inbound_knowledge.py` | Doctrina inbound inyectada en `_SYSTEM` de estratega/copywriter/video_script |
| `conftest.py` | Fixtures compartidas (limpieza de cache de `get_settings`, sesión DB) |
| `test_revise_run.py` | `POST /runs/{id}/revise`: params persistidos, re-ejecución con notas, revisiones acumuladas, ruteo de video a `video_render`, 404/409 |
| `test_multi_account.py` | Multi-cuenta: N filas por proveedor, callback Meta multi-página, `_resolve_publish_token`, publish dirigido, regresión legacy |

```bash
python -m pytest tests/ -q
```

---

### Cómo levantar el stack (7–8 terminales)

Documentación detallada: **`infra/arranque-stack.md`**

**Prerequisitos (una vez):**

```bash
pip install -r requirements.txt
python -m alembic upgrade head   # incluye migración 0005 (video_url)
cd frontend && npm install && cd ..
```

**Servicios (terminales separadas — raíz del repo, venv activado):**

```bash
# T1 — Infra
docker compose -f infra/docker-compose.yml up -d

# T2 — Ollama
curl http://localhost:11434/api/tags

# T3 — API
python -m uvicorn gateway.app.main:app --reload --host 127.0.0.1 --port 8000

# T4 — Celery (runs async imagen/story)
python -m celery -A workers.celery_app.celery_app worker -l info

# T4b — Celery video_render (solo si generas Reels)
python -m celery -A workers.celery_app.celery_app worker -l info -Q video_render

# T5 — Frontend
cd frontend && npm run dev

# T6 — Go publisher (al aprobar/publicar en IG, LinkedIn o Reels)
cd microservices/social-publisher-go && go run ./cmd/server

# T7 — ngrok (solo al publicar en Meta/Instagram — imágenes y videos)
cd tests/ngrok-v3-stable-windows-amd64 && ./ngrok.exe http 8000
# Actualizar PUBLIC_IMAGE_BASE_URL con la URL https y reiniciar Uvicorn
```

Dashboard: http://localhost:5173 · API docs: http://127.0.0.1:8000/docs

---

### Variables de entorno mínimas

```env
IMAGE_PROVIDER=fal
FAL_API_KEY=tu_clave_fal.ai
FAL_MODEL=fal-ai/flux-pro/v1.1
FAL_IMG2IMG_MODEL=fal-ai/flux/dev/image-to-image
FAL_IMG2IMG_STRENGTH=0.72

LLM_PROVIDER=ollama
OLLAMA_MODEL=llama3.1

DATABASE_URL=postgresql+psycopg://postgres:postgres@localhost:5433/marketing_mvp
REDIS_URL=redis://localhost:6379/0

SOCIAL_PROVIDER=meta
GO_PUBLISHER_URL=http://localhost:8088
PUBLIC_IMAGE_BASE_URL=https://TU-URL-NGROK   # Meta + locales; reel fal render vía fal.media

LINKEDIN_CLIENT_ID=...
LINKEDIN_CLIENT_SECRET=...

VIDEO_PROVIDER=shotstack
SHOTSTACK_API_KEY=...
SHOTSTACK_ENV=stage
VOICE_PROVIDER=fal
FAL_TTS_MODEL=fal-ai/kokoro/spanish
FAL_TTS_VOICE=ef_dora

STT_PROVIDER=whisper                 # user_clip_reel — requiere ffmpeg en el host
GOOGLE_CLIENT_ID=...
GOOGLE_CLIENT_SECRET=...

PROMETHEUS_ENABLED=false   # true en producción
```

**No commitear `.env`**

---

### Roadmap vs realidad

| Paso | Estado |
|------|--------|
| 1 Happy path local | ✅ |
| 2 PostgreSQL + Alembic | ✅ |
| 3 APIs reales (LLM, imagen, social) | ✅ |
| 4 Auth + human-in-the-loop | ✅ |
| 5 LangGraph Copy/QA | ✅ |
| 6 Go / infra / K8s | 🟡 Parcial — sidecars Go existen; K8s es base |
| 7 Diseño editorial (arquetipos + Pillow) | ✅ |
| 8 Foto usuario (Design-as-Code + img2img HITL) | ✅ |
| 9 LinkedIn nativo con imagen | ✅ |
| 10 Canva/Figma MCP (plantillas de marca) | ⬜ Pendiente |
| 11 Video-as-Code (Reels: script + escenas fal.ai + voz + Shotstack) | ✅ |
| 12 Reel con clips del usuario (Drive OAuth + Whisper + selección hook-scored) | ✅ |
| 13 Revisión HITL (`POST /runs/{id}/revise`) | ✅ |
| 14 Multi-cuenta social (selector por run, migración `0007`) | ✅ |

---

### Higiene técnica (revisión 2026-07-03)

| Tarea | Estado | Notas |
|-------|--------|-------|
| Limpieza Upload-Post en docs | ✅ Hecho | Sin referencias en README, `.env.example`, k8s secrets |
| Prometheus + FastAPI | ✅ Resuelto | `PROMETHEUS_ENABLED=true` expone `/metrics`; instrumentator 7.1.0 + FastAPI 0.115.6 probados |
| Skaffold / Google Cloud Deploy | 🟡 Escrito, sin estrenar | `skaffold.yaml` + `clouddeploy.yaml` + overlays `dev`/`staging`/`prod` renderizan con `kubectl kustomize`; falta aplicarlos contra GKE reales y cablear Secret Manager |

---

### Pendientes conocidos

1. **Canva OAuth** — placeholder en `image_providers.py`, no implementado.
2. **Canva/Figma MCP** — inserción de foto del cliente en plantillas pre-aprobadas de marca (arquitectura definida, sin código).
3. **Observabilidad en prod** — activar `PROMETHEUS_ENABLED=true` en despliegue + scrape Grafana/Cloud Monitoring (código listo; falta wiring infra).
4. **CI/CD K8s** — ⚠️ parcial: `skaffold.yaml`, `clouddeploy.yaml` y overlays kustomize existen y renderizan localmente, pero **nunca se aplicaron contra un clúster real**. Falta crear los GKE de staging/prod, reemplazar `PROJECT_ID`/`REGION` en `clouddeploy.yaml` y cablear secretos por Secret Manager.
5. **Video v2** — música de fondo, captions por palabra (hoy por segmento) para `user_clip_reel`.
5b (TikTok). **Fase 2, diseñado sin código** — Login Kit (OAuth 2.0 + PKCE) como provider nuevo en `auth_social.py` (encaja en el modelo multi-cuenta) + Content Posting API (`/v2/post/publish/video/init/` + upload chunked) como rama nueva en el Go sidecar. Solo video (`reel`/`user_clip_reel`). **Bloqueo real:** TikTok exige auditoría de la app para publicar contenido público; sin auditar solo permite posts privados (`SELF_ONLY`). Iniciar el trámite antes de codificar.
6. ~~**URLs públicas en wan-effects**~~ — ✅ resuelto 2026-07-27: `clip_public_url()` usa `PUBLIC_IMAGE_BASE_URL`. Sigue haciendo falta ngrok corriendo para que la URL sea alcanzable; lo que ya no pasa es que apunte a localhost con el túnel activo.
7. **LLM stub silencioso** — ⚠️ parcialmente resuelto 2026-07-27: `keep_alive` (`OLLAMA_KEEP_ALIVE=30m`) + `LLM_TIMEOUT_SECONDS=300` eliminan el cold-start recurrente. **Pero el fallback sigue siendo silencioso**: con Ollama apagado, estratega/copywriter caen al `_stub()` y el texto sale genérico sin error visible. Falta propagar `llm_error` a la UI.
8. ~~**Revisión de piezas (backend)**~~ — ✅ resuelto 2026-07-26: `POST /runs/{id}/revise` regenera la pieza con las notas. Queda para v2 el historial de versiones (hoy `result_json` se sobrescribe).
9. **Meta OAuth Instagram** — reautorizar con scopes `instagram_basic` + `instagram_content_publish`; Valid OAuth Redirect URI = URL **completa** `…/api/auth/callback/meta`. Preferir ngrok con dominio fijo (`--url=…`) para no romper `.env`/Meta cada reinicio.
10. **Imagen fal: fallos ya no son mock** — aplicado; SD sin A1111 en `:7860` ahora falla explícito (elegir fal en dashboard si no hay Forge).

---

### Resumen

MVP **end-to-end funcional**: genera copy con QA bajo doctrina inbound (Entretener→Informacion→Conexion; comunidad del brief), produce imágenes editoriales con fal.ai/Flux (o usa la foto del usuario como capa base sin destruirla), aplica layouts tipo agencia con Pillow, permite alteración img2img bajo indicaciones del usuario con aprobación humana, publica en Instagram y LinkedIn vía Go + OAuth nativo **multi-cuenta** (selector de cuenta destino por run; requiere token Meta con permisos IG), genera Reels programáticos (guion → escenas fal.ai + voz fal → render Shotstack; assets fal vía CDN `fal.media`), y arma Reels a partir de clips propios del usuario (Drive → Whisper → selección → captions → efecto opcional → mismo render/publicación). HITL con Aprobar/Rechazar y **Solicitar cambios**, que regenera la pieza con las notas del revisor vía `POST /runs/{id}/revise` y la devuelve a `pending_approval`. TikTok queda como fase 2 (Login Kit + Content Posting; auditoría de app).
